text	start	duration	sequence_id	sentence
For	0.511	0.14	0	 For the big, for the small, the short and the tall, peacemakers, risk takers, for the optimists, pessimists, exhibitionists, for long distance love, for the farsighted, nearsighted, for introverts and extroverts, for the thinkers and the doers, for old friends, Coca-Cola for everyone.
the	0.671	0.07999999999999996	0	 For the big, for the small, the short and the tall, peacemakers, risk takers, for the optimists, pessimists, exhibitionists, for long distance love, for the farsighted, nearsighted, for introverts and extroverts, for the thinkers and the doers, for old friends, Coca-Cola for everyone.
big,	0.792	0.26	0	 For the big, for the small, the short and the tall, peacemakers, risk takers, for the optimists, pessimists, exhibitionists, for long distance love, for the farsighted, nearsighted, for introverts and extroverts, for the thinkers and the doers, for old friends, Coca-Cola for everyone.
for	1.912	0.1200000000000001	0	 For the big, for the small, the short and the tall, peacemakers, risk takers, for the optimists, pessimists, exhibitionists, for long distance love, for the farsighted, nearsighted, for introverts and extroverts, for the thinkers and the doers, for old friends, Coca-Cola for everyone.
the	2.052	0.06000000000000005	0	 For the big, for the small, the short and the tall, peacemakers, risk takers, for the optimists, pessimists, exhibitionists, for long distance love, for the farsighted, nearsighted, for introverts and extroverts, for the thinkers and the doers, for old friends, Coca-Cola for everyone.
small,	2.172	0.3009999999999997	0	 For the big, for the small, the short and the tall, peacemakers, risk takers, for the optimists, pessimists, exhibitionists, for long distance love, for the farsighted, nearsighted, for introverts and extroverts, for the thinkers and the doers, for old friends, Coca-Cola for everyone.
the	3.173	0.10000000000000009	0	 For the big, for the small, the short and the tall, peacemakers, risk takers, for the optimists, pessimists, exhibitionists, for long distance love, for the farsighted, nearsighted, for introverts and extroverts, for the thinkers and the doers, for old friends, Coca-Cola for everyone.
short	3.333	0.2999999999999998	0	 For the big, for the small, the short and the tall, peacemakers, risk takers, for the optimists, pessimists, exhibitionists, for long distance love, for the farsighted, nearsighted, for introverts and extroverts, for the thinkers and the doers, for old friends, Coca-Cola for everyone.
and	4.374	0.10000000000000053	0	 For the big, for the small, the short and the tall, peacemakers, risk takers, for the optimists, pessimists, exhibitionists, for long distance love, for the farsighted, nearsighted, for introverts and extroverts, for the thinkers and the doers, for old friends, Coca-Cola for everyone.
the	4.494	0.0600000000000005	0	 For the big, for the small, the short and the tall, peacemakers, risk takers, for the optimists, pessimists, exhibitionists, for long distance love, for the farsighted, nearsighted, for introverts and extroverts, for the thinkers and the doers, for old friends, Coca-Cola for everyone.
tall,	4.614	0.3200000000000003	0	 For the big, for the small, the short and the tall, peacemakers, risk takers, for the optimists, pessimists, exhibitionists, for long distance love, for the farsighted, nearsighted, for introverts and extroverts, for the thinkers and the doers, for old friends, Coca-Cola for everyone.
peacemakers,	5.495	0.7400000000000002	0	 For the big, for the small, the short and the tall, peacemakers, risk takers, for the optimists, pessimists, exhibitionists, for long distance love, for the farsighted, nearsighted, for introverts and extroverts, for the thinkers and the doers, for old friends, Coca-Cola for everyone.
risk	6.816	0.2400000000000002	0	 For the big, for the small, the short and the tall, peacemakers, risk takers, for the optimists, pessimists, exhibitionists, for long distance love, for the farsighted, nearsighted, for introverts and extroverts, for the thinkers and the doers, for old friends, Coca-Cola for everyone.
takers,	7.116	0.4400000000000004	0	 For the big, for the small, the short and the tall, peacemakers, risk takers, for the optimists, pessimists, exhibitionists, for long distance love, for the farsighted, nearsighted, for introverts and extroverts, for the thinkers and the doers, for old friends, Coca-Cola for everyone.
for	8.096	0.09999999999999964	0	 For the big, for the small, the short and the tall, peacemakers, risk takers, for the optimists, pessimists, exhibitionists, for long distance love, for the farsighted, nearsighted, for introverts and extroverts, for the thinkers and the doers, for old friends, Coca-Cola for everyone.
the	8.216	0.0810000000000013	0	 For the big, for the small, the short and the tall, peacemakers, risk takers, for the optimists, pessimists, exhibitionists, for long distance love, for the farsighted, nearsighted, for introverts and extroverts, for the thinkers and the doers, for old friends, Coca-Cola for everyone.
optimists,	8.377	0.5199999999999996	0	 For the big, for the small, the short and the tall, peacemakers, risk takers, for the optimists, pessimists, exhibitionists, for long distance love, for the farsighted, nearsighted, for introverts and extroverts, for the thinkers and the doers, for old friends, Coca-Cola for everyone.
pessimists,	9.537	0.7009999999999987	0	 For the big, for the small, the short and the tall, peacemakers, risk takers, for the optimists, pessimists, exhibitionists, for long distance love, for the farsighted, nearsighted, for introverts and extroverts, for the thinkers and the doers, for old friends, Coca-Cola for everyone.
exhibitionists,	10.838	0.8810000000000002	0	 For the big, for the small, the short and the tall, peacemakers, risk takers, for the optimists, pessimists, exhibitionists, for long distance love, for the farsighted, nearsighted, for introverts and extroverts, for the thinkers and the doers, for old friends, Coca-Cola for everyone.
for	12.219	0.14000000000000057	0	 For the big, for the small, the short and the tall, peacemakers, risk takers, for the optimists, pessimists, exhibitionists, for long distance love, for the farsighted, nearsighted, for introverts and extroverts, for the thinkers and the doers, for old friends, Coca-Cola for everyone.
long	12.419	0.2599999999999998	0	 For the big, for the small, the short and the tall, peacemakers, risk takers, for the optimists, pessimists, exhibitionists, for long distance love, for the farsighted, nearsighted, for introverts and extroverts, for the thinkers and the doers, for old friends, Coca-Cola for everyone.
distance	12.74	0.4599999999999991	0	 For the big, for the small, the short and the tall, peacemakers, risk takers, for the optimists, pessimists, exhibitionists, for long distance love, for the farsighted, nearsighted, for introverts and extroverts, for the thinkers and the doers, for old friends, Coca-Cola for everyone.
love,	13.36	0.3000000000000007	0	 For the big, for the small, the short and the tall, peacemakers, risk takers, for the optimists, pessimists, exhibitionists, for long distance love, for the farsighted, nearsighted, for introverts and extroverts, for the thinkers and the doers, for old friends, Coca-Cola for everyone.
for	14.321	0.14000000000000057	0	 For the big, for the small, the short and the tall, peacemakers, risk takers, for the optimists, pessimists, exhibitionists, for long distance love, for the farsighted, nearsighted, for introverts and extroverts, for the thinkers and the doers, for old friends, Coca-Cola for everyone.
the	14.481	0.0600000000000005	0	 For the big, for the small, the short and the tall, peacemakers, risk takers, for the optimists, pessimists, exhibitionists, for long distance love, for the farsighted, nearsighted, for introverts and extroverts, for the thinkers and the doers, for old friends, Coca-Cola for everyone.
farsighted,	14.621	0.6399999999999988	0	 For the big, for the small, the short and the tall, peacemakers, risk takers, for the optimists, pessimists, exhibitionists, for long distance love, for the farsighted, nearsighted, for introverts and extroverts, for the thinkers and the doers, for old friends, Coca-Cola for everyone.
nearsighted,	15.742	0.6799999999999997	0	 For the big, for the small, the short and the tall, peacemakers, risk takers, for the optimists, pessimists, exhibitionists, for long distance love, for the farsighted, nearsighted, for introverts and extroverts, for the thinkers and the doers, for old friends, Coca-Cola for everyone.
for	16.842	0.14000000000000057	0	 For the big, for the small, the short and the tall, peacemakers, risk takers, for the optimists, pessimists, exhibitionists, for long distance love, for the farsighted, nearsighted, for introverts and extroverts, for the thinkers and the doers, for old friends, Coca-Cola for everyone.
introverts	17.102	0.6009999999999991	0	 For the big, for the small, the short and the tall, peacemakers, risk takers, for the optimists, pessimists, exhibitionists, for long distance love, for the farsighted, nearsighted, for introverts and extroverts, for the thinkers and the doers, for old friends, Coca-Cola for everyone.
